155;PACHANGARA (Churín);activo;1;11;2/01/1900;3/01/1900
156;YAUYOS;activo;1;12;2/01/1900;3/01/1900
157;ALIS;activo;1;12;2/01/1900;3/01/1900
158;AYAUCA;activo;1;12;2/01/1900;3/01/1900
159;AYAVIRI;activo;1;12;2/01/1900;3/01/1900
160;AZANGARO;activo;1;12;2/01/1900;3/01/1900
161;CACRA;activo;1;12;2/01/1900;3/01/1900
162;CARANIA;activo;1;12;2/01/1900;3/01/1900
163;CATAHUASI;activo;1;12;2/01/1900;3/01/1900
164;CHOCOS;activo;1;12;2/01/1900;3/01/1900
165;COCHAS;activo;1;12;2/01/1900;3/01/1900
166;COLONIA;activo;1;12;2/01/1900;3/01/1900
167;HONGOS;activo;1;12;2/01/1900;3/01/1900
168;HUAMPARA;activo;1;12;2/01/1900;3/01/1900
169;HUANCAYA;activo;1;12;2/01/1900;3/01/1900
170;HUANGASCAR;activo;1;12;2/01/1900;3/01/1900
171;HUANTAN;activo;1;12;2/01/1900;3/01/1900
172;HUAnEC;activo;1;12;2/01/1900;3/01/1900
173;LARAOS;activo;1;12;2/01/1900;3/01/1900
174;LINCHA;activo;1;12;2/01/1900;3/01/1900
175;MADEAN;activo;1;12;2/01/1900;3/01/1900
176;MIRAFLORES;activo;1;12;2/01/1900;3/01/1900
177;OMAS;activo;1;12;2/01/1900;3/01/1900
178;PUTINZA (Sn. Lorenzo de Putinza);activo;1;12;2/01/1900;3/01/1900
179;QUINCHES;activo;1;12;2/01/1900;3/01/1900
180;QUINOCAY;activo;1;12;2/01/1900;3/01/1900
181;SAN JOAQUIN;activo;1;12;2/01/1900;3/01/1900
182;SAN PEDRO DE PILAS;activo;1;12;2/01/1900;3/01/1900
183;TANTA;activo;1;12;2/01/1900;3/01/1900
184;TAURIPAMPA;activo;1;12;2/01/1900;3/01/1900
185;TOMAS;activo;1;12;2/01/1900;3/01/1900
186;TUPE;activo;1;12;2/01/1900;3/01/1900
187;VInAC;activo;1;12;2/01/1900;3/01/1900
188;VITIS;activo;1;12;2/01/1900;3/01/1900
189;JUMBILLA;activo;2;13;2/01/1900;3/01/1900
190;CHISQUILLA;activo;2;13;2/01/1900;3/01/1900
191;CHURUJA;activo;2;13;2/01/1900;3/01/1900
192;COROSHA;activo;2;13;2/01/1900;3/01/1900
193;CUISPES;activo;2;13;2/01/1900;3/01/1900
194;FLORIDA;activo;2;13;2/01/1900;3/01/1900
195;JAZAN (Pedro Ruíz Gallo);activo;2;13;2/01/1900;3/01/1900
196;RECTA;activo;2;13;2/01/1900;3/01/1900
197;SAN CARLOS;activo;2;13;2/01/1900;3/01/1900
198;SHIPASBAMBA;activo;2;13;2/01/1900;3/01/1900
199;VALERA;activo;2;13;2/01/1900;3/01/1900
200;YAMBRASBAMBA;activo;2;13;2/01/1900;3/01/1900
201;CHACHAPOYAS;activo;2;14;2/01/1900;3/01/1900
202;ASUNCION;activo;2;14;2/01/1900;3/01/1900
203;BALSAS;activo;2;14;2/01/1900;3/01/1900
204;CHETO;activo;2;14;2/01/1900;3/01/1900
205;CHILIQUIN;activo;2;14;2/01/1900;3/01/1900
206;CHUQUIBAMBA;activo;2;14;2/01/1900;3/01/1900
207;GRANADA;activo;2;14;2/01/1900;3/01/1900
208;HUANCAS;activo;2;14;2/01/1900;3/01/1900
209;LA JALCA;activo;2;14;2/01/1900;3/01/1900
210;LEIMEBAMBA;activo;2;14;2/01/1900;3/01/1900
211;LEVANTO;activo;2;14;2/01/1900;3/01/1900
212;MAGDALENA;activo;2;14;2/01/1900;3/01/1900
213;MARISCAL CASTILLA (Duraznopampa);activo;2;14;2/01/1900;3/01/1900
214;MOLINOPAMPA;activo;2;14;2/01/1900;3/01/1900
215;MONTEVIDEO;activo;2;14;2/01/1900;3/01/1900
216;OLLEROS;activo;2;14;2/01/1900;3/01/1900
217;QUINJALCA;activo;2;14;2/01/1900;3/01/1900
218;SAN FRANCISCO DE DAGUAS (Daguas);activo;2;14;2/01/1900;3/01/1900
219;SAN ISIDRO DE MAINO (Maíno);activo;2;14;2/01/1900;3/01/1900
220;SOLOCO;activo;2;14;2/01/1900;3/01/1900
221;SONCHE (San Juan de Sonche);activo;2;14;2/01/1900;3/01/1900
222;NIEVA (Santa María de Nieva);activo;2;15;2/01/1900;3/01/1900
223;EL CENEPA (Huampami);activo;2;15;2/01/1900;3/01/1900
224;RIO SANTIAGO (Puerto Galilea);activo;2;15;2/01/1900;3/01/1900
225;LAMUD;activo;2;16;2/01/1900;3/01/1900
226;CAMPORREDONDO;activo;2;16;2/01/1900;3/01/1900
227;COCABAMBA;activo;2;16;2/01/1900;3/01/1900
228;COLCAMAR;activo;2;16;2/01/1900;3/01/1900
229;CONILA (Cohechán);activo;2;16;2/01/1900;3/01/1900
230;INGUILPATA;activo;2;16;2/01/1900;3/01/1900
231;LONGUITA;activo;2;16;2/01/1900;3/01/1900
232;LONYA CHICO;activo;2;16;2/01/1900;3/01/1900
233;LUYA;activo;2;16;2/01/1900;3/01/1900
234;LUYA VIEJO;activo;2;16;2/01/1900;3/01/1900
235;MARIA;activo;2;16;2/01/1900;3/01/1900
236;OCALLI;activo;2;16;2/01/1900;3/01/1900
237;OCUMAL (Collonce);activo;2;16;2/01/1900;3/01/1900
238;PISUQUIA (Yomblón);activo;2;16;2/01/1900;3/01/1900
239;PROVIDENCIA;activo;2;16;2/01/1900;3/01/1900
240;SAN CRISTOBAL (Olto);activo;2;16;2/01/1900;3/01/1900
241;SAN FRANCISCO DEL YESO;activo;2;16;2/01/1900;3/01/1900
242;SAN JERONIMO (Paclas);activo;2;16;2/01/1900;3/01/1900
