78;AUXILIAR EN EDUACION INICIAL;activo;800;2;0/01/1900;0/01/1900
79;CREATIVIDAD E INTELIGENCIAS MULTIPLES - OPTIMIS;activo;800;2;0/01/1900;0/01/1900
80;ESTIMULACION INFANTIL EN EDUCACION INICIAL;activo;800;2;0/01/1900;0/01/1900
81;DIDACTICAS Y ESTRATEGIAS EN EDUCACION INICIAL;activo;800;2;0/01/1900;0/01/1900
82;EVALUACION PEDAGOGICA DEL APRENDIZAJE EN EDUCACION INICIAL;activo;800;2;0/01/1900;0/01/1900
83;COMPRENSION LECTORA Y DESARROLLO DEL LENGUAJE EN NIVEL INICIAL;activo;800;2;0/01/1900;0/01/1900
84;EDUCACION INCLUSIVA;activo;800;2;0/01/1900;0/01/1900
85;AUXILIAR DOCENTE Y LA NUEVA VISION PEDAGOGICA;activo;800;2;0/01/1900;0/01/1900
86;PROBLEMAS DE APRENDIZAJE;activo;800;2;0/01/1900;0/01/1900
87;ADMINISTRACI�N LOGISTICA;activo;800;3;0/01/1900;0/01/1900
88;ADMINISTRACION DE EMPRESAS;activo;800;3;0/01/1900;0/01/1900
89;ASISTENTE DE GERENCIA EMPRESARIAL;activo;800;3;0/01/1900;0/01/1900
90;AUDITORIA ADMINISTRATIVA;activo;800;3;0/01/1900;0/01/1900
91;GESTION LOGISTICA;activo;800;3;0/01/1900;0/01/1900
92;REINGENIERIA ADMINISTRATIVA;activo;800;3;0/01/1900;0/01/1900
93;FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION PUBLICA;activo;800;3;0/01/1900;0/01/1900
94;GESTION Y FORMULACION DE PROYECTOS EN RESIDUOS SOLIDOS;activo;800;3;0/01/1900;0/01/1900
95;CONTRATACIONES Y ADQUISICIONES DEL ESTADO;activo;800;3;0/01/1900;0/01/1900
96;SANEAMIENTO AMBIENTAL;activo;800;3;0/01/1900;0/01/1900
97;EVALUACION DE IMPACTOS AMBIENTALES;activo;800;3;0/01/1900;0/01/1900
98;GESTION PUBLICA;activo;800;3;0/01/1900;0/01/1900
99;GESTION MUNICIPAL;activo;800;5;0/01/1900;0/01/1900
100;ADMINISTRACION PUBLICA;activo;800;3;0/01/1900;0/01/1900
101;MARKETING ESTRATEGICO;activo;800;3;0/01/1900;0/01/1900
102;INGLES;activo;800;8;0/01/1900;0/01/1900
103;Terapia de Lenguaje;activo;800;2;0/01/1900;0/01/1900
104;VENTA DE AUTOS;activo;800;3;0/01/1900;0/01/1900
